,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
10,1958,TRON,TRX,tron,895,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,88268516379.85695,88268516379.85695,True,,11,71659659264.0,7435914551.1302595,,2024-01-10T05:41:00.000Z,0.10376709333400187,267049466.13257566,3.3531,0.17977648,-0.34150592,-5.18390939,-0.50738666,-1.63445294,20.35120057,9159367377.642488,0.536,9159367377.64,,2024-01-10T05:41:00.000Z,,,,,,2024-01-10 12:43:09.075111
11,6636,Polkadot,DOT,polkadot-new,660,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain', 'layer-1']",,1266125184.977808,1398385686.6861596,True,,12,,,,2024-01-10T05:42:00.000Z,7.131552033688823,281330450.1644152,2.5039,-0.07805036,-3.51913709,-16.54866033,5.20744654,36.68415962,91.828937,9029437637.833124,0.5283,9972660287.77,,2024-01-10T05:42:00.000Z,,,,,,2024-01-10 12:43:09.075111
12,3890,Polygon,MATIC,polygon,1235,2019-04-28T00:00:00.000Z,"['pos', 'platform', 'enterprise-solutions', 'zero-knowledge-proofs', 'scaling', 'state-channel', 'coinbase-ventures-portfolio', 'layer-2', 'binance-launchpad', 'binance-labs-portfolio', 'polygon-ecosystem', 'moonriver-ecosystem', 'injective-ecosystem', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'modular-blockchain', 'standard-crypto-portfolio']",10000000000.0,9562602088.919949,10000000000.0,False,,13,,,,2024-01-10T05:41:00.000Z,0.8187832520089284,562227243.2401872,9.8128,0.30454972,-0.42640516,-16.8357573,-4.91590363,0.23167073,59.67772898,7829698436.033248,0.4582,8187832520.09,,2024-01-10T05:41:00.000Z,,,,,,2024-01-10 12:43:09.075111
13,1975,Chainlink,LINK,chainlink,1556,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'substrate', 'polkadot', 'polkadot-ecosystem', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'cardano', 'injective-ecosystem', 'optimism-ecosystem', 'real-world-assets', 'celsius-bankruptcy-estate']",1000000000.0,568099970.4527867,1000000000.0,False,,14,,,,2024-01-10T05:41:00.000Z,13.712183133734003,540835766.1933631,16.4832,0.53556045,-2.43259781,-11.35041101,-8.74316953,-8.71725759,86.77509463,7789890833.117487,0.4559,13712183133.73,,2024-01-10T05:41:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2024-01-10 12:43:09.075111
14,11419,Toncoin,TON,toncoin,185,2021-08-26T13:40:22.000Z,"['pos', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,3456453613.9999104,5100906813.039438,True,,15,3414166606.0,7468465431.574133,,2024-01-10T05:42:00.000Z,2.187492964886123,61250667.39504915,0.0271,-0.13010393,-2.90916846,-4.44432025,2.98098068,-9.95157623,9.26671231,7560967964.08002,0.4424,11158197768.06,,2024-01-10T05:42:00.000Z,,,,,,2024-01-10 12:43:09.075111
0,1,Bitcoin,BTC,bitcoin,10695,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19594306.0,19594306.0,False,,1,,,,2024-01-10T05:42:00.000Z,45972.58804639284,38312540241.81836,-10.86,-0.24586556,-1.53145214,1.4811908,9.5965574,23.82109466,71.25103277,900800957792.9635,52.7046,965424348974.25,,2024-01-10T05:42:00.000Z,,,,,,2024-01-10 12:43:09.075111
1,1027,Ethereum,ETH,ethereum,8205,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120184170.65666206,120184170.65666206,True,,2,,,,2024-01-10T05:42:00.000Z,2389.1265889425313,16883369369.932182,27.3094,0.6006938,3.46915412,0.43902859,6.58071701,16.15833623,52.88421214,287135197685.8381,16.7999,287135197685.84,,2024-01-10T05:42:00.000Z,,,,,,2024-01-10 12:43:09.075111
2,825,Tether USDt,USDT,tether,70958,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,94341083432.79712,97602960965.17456,True,,3,,,,2024-01-10T05:41:00.000Z,1.000409047442776,60923329231.45611,1.4887,0.01614487,-0.02015049,0.01629278,0.02963537,-0.01572241,0.06729896,94379673411.72403,5.5233,97642885206.76,,2024-01-10T05:41:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-01-10 12:43:09.075111
3,1839,BNB,BNB,bnb,2004,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,151690532.0846354,151690532.0846354,False,,4,,,,2024-01-10T05:41:00.000Z,300.686234230401,1285602099.3279095,15.7498,-0.28164417,-0.3110577,-4.94616832,29.01877794,20.73522516,46.1683562,45611254860.93484,2.6693,45611254860.93,,2024-01-10T05:41:00.000Z,,,,,,2024-01-10 12:43:09.075111
4,5426,Solana,SOL,solana,613,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities']",,431919341.84250903,566722087.133365,True,,5,,,,2024-01-10T05:42:00.000Z,99.13020839928633,3492011136.6789145,-16.1881,-0.50164361,-3.00478784,-8.76611839,42.00049317,81.1205609,355.34223995,42816254368.53051,2.5051,56179278602.01,,2024-01-10T05:42:00.000Z,,,,,,2024-01-10 12:43:09.075111
5,52,XRP,XRP,xrp,1197,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,54210437480.0,99988065643.0,False,,6,,,,2024-01-10T05:42:00.000Z,0.5681312700299336,1710128638.7159364,23.2119,-0.35599115,-0.98708116,-10.65530964,-9.18208003,-12.82233897,17.42721037,30798644694.390713,1.802,56813127002.99,,2024-01-10T05:42:00.000Z,,,,,,2024-01-10 12:43:09.075111
6,3408,USDC,USDC,usd-coin,16066,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,25214963870.197002,25214963870.197002,False,,7,,,,2024-01-10T05:42:00.000Z,1.0001746315414275,7626847363.15877,3.1496,-0.02062758,0.03250206,-0.00398673,0.0216505,0.02031808,0.0170163,25219367198.204693,1.4756,25219367198.2,,2024-01-10T05:42:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-01-10 12:43:09.075111
7,2010,Cardano,ADA,cardano,1022,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35385750484.899,36513698485.298,False,,8,,,,2024-01-10T05:41:00.000Z,0.5101914018288951,647452115.9600884,4.0668,-0.96194036,-3.71536593,-17.02995696,-8.23632684,35.34196046,107.23359598,18053505644.658127,1.0565,22958613082.3,,2024-01-10T05:41:00.000Z,,,,,,2024-01-10 12:43:09.075111
8,5805,Avalanche,AVAX,avalanche,635,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'real-world-assets', 'layer-1']",720000000.0,366618957.80447936,434651867.80447936,False,,9,,,,2024-01-10T05:41:00.000Z,34.531404707144915,854284706.1002564,-16.9586,-0.06525309,-6.13619617,-15.61143341,-2.40780194,141.5468067,275.64099296,12659867605.258162,0.7409,24862611389.14,,2024-01-10T05:41:00.000Z,,,,,,2024-01-10 12:43:09.075111
9,74,Dogecoin,DOGE,dogecoin,868,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,142590446383.70526,142590446383.70526,True,,10,,,,2024-01-10T05:42:00.000Z,0.07906309863327751,941250382.9765317,89.1925,-0.75522658,-1.72024707,-13.82900047,-19.65323088,0.96154373,35.68005061,11273642526.597958,0.6596,11273642526.6,,2024-01-10T05:42:00.000Z,,,,,,2024-01-10 12:43:09.075111
10,1958,TRON,TRX,tron,895,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,88268516379.85695,88268516379.85695,True,,11,71659659264.0,7435914551.1302595,,2024-01-10T05:41:00.000Z,0.10376709333400187,267049466.13257566,3.3531,0.17977648,-0.34150592,-5.18390939,-0.50738666,-1.63445294,20.35120057,9159367377.642488,0.536,9159367377.64,,2024-01-10T05:41:00.000Z,,,,,,2024-01-10 12:43:09.075111
11,6636,Polkadot,DOT,polkadot-new,660,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain', 'layer-1']",,1266125184.977808,1398385686.6861596,True,,12,,,,2024-01-10T05:42:00.000Z,7.131552033688823,281330450.1644152,2.5039,-0.07805036,-3.51913709,-16.54866033,5.20744654,36.68415962,91.828937,9029437637.833124,0.5283,9972660287.77,,2024-01-10T05:42:00.000Z,,,,,,2024-01-10 12:43:09.075111
12,3890,Polygon,MATIC,polygon,1235,2019-04-28T00:00:00.000Z,"['pos', 'platform', 'enterprise-solutions', 'zero-knowledge-proofs', 'scaling', 'state-channel', 'coinbase-ventures-portfolio', 'layer-2', 'binance-launchpad', 'binance-labs-portfolio', 'polygon-ecosystem', 'moonriver-ecosystem', 'injective-ecosystem', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'modular-blockchain', 'standard-crypto-portfolio']",10000000000.0,9562602088.919949,10000000000.0,False,,13,,,,2024-01-10T05:41:00.000Z,0.8187832520089284,562227243.2401872,9.8128,0.30454972,-0.42640516,-16.8357573,-4.91590363,0.23167073,59.67772898,7829698436.033248,0.4582,8187832520.09,,2024-01-10T05:41:00.000Z,,,,,,2024-01-10 12:43:09.075111
13,1975,Chainlink,LINK,chainlink,1556,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'substrate', 'polkadot', 'polkadot-ecosystem', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'cardano', 'injective-ecosystem', 'optimism-ecosystem', 'real-world-assets', 'celsius-bankruptcy-estate']",1000000000.0,568099970.4527867,1000000000.0,False,,14,,,,2024-01-10T05:41:00.000Z,13.712183133734003,540835766.1933631,16.4832,0.53556045,-2.43259781,-11.35041101,-8.74316953,-8.71725759,86.77509463,7789890833.117487,0.4559,13712183133.73,,2024-01-10T05:41:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2024-01-10 12:43:09.075111
14,11419,Toncoin,TON,toncoin,185,2021-08-26T13:40:22.000Z,"['pos', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,3456453613.9999104,5100906813.039438,True,,15,3414166606.0,7468465431.574133,,2024-01-10T05:42:00.000Z,2.187492964886123,61250667.39504915,0.0271,-0.13010393,-2.90916846,-4.44432025,2.98098068,-9.95157623,9.26671231,7560967964.08002,0.4424,11158197768.06,,2024-01-10T05:42:00.000Z,,,,,,2024-01-10 12:43:09.075111
0,1,Bitcoin,BTC,bitcoin,10695,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19594306.0,19594306.0,False,,1,,,,2024-01-10T05:43:00.000Z,45971.42652380277,38278584993.31993,-10.941,-0.18104973,-1.42418838,1.50629191,9.71370055,23.86056961,71.26674271,900778198563.9078,52.7033,965399956999.86,,2024-01-10T05:43:00.000Z,,,,,,2024-01-10 12:44:10.063506
1,1027,Ethereum,ETH,ethereum,8205,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120184170.65666206,120184170.65666206,True,,2,,,,2024-01-10T05:43:00.000Z,2387.34207799881,16888713734.343792,27.3465,0.57210453,3.51958951,0.37289537,6.66450714,16.06906102,52.80605588,286920727718.03925,16.7873,286920727718.04,,2024-01-10T05:43:00.000Z,,,,,,2024-01-10 12:44:10.063506
2,825,Tether USDt,USDT,tether,70958,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,94341083432.79712,97602960965.17456,True,,3,,,,2024-01-10T05:42:00.000Z,1.0004157248877352,60920218703.90769,1.4692,-0.01504012,-0.01391828,-0.00106144,0.04032687,-0.01583363,0.06695051,94380303369.11604,5.5221,97643536945.16,,2024-01-10T05:42:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-01-10 12:44:10.063506
3,1839,BNB,BNB,bnb,2004,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,151690532.0846354,151690532.0846354,False,,4,,,,2024-01-10T05:42:00.000Z,300.6877045107361,1285571260.6682358,15.716,-0.3191,-0.31765891,-4.94610824,29.04097926,20.76581696,46.15404317,45611477888.54119,2.6687,45611477888.54,,2024-01-10T05:42:00.000Z,,,,,,2024-01-10 12:44:10.063506
